Location,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"Minnehaha County, SD",0.276718,4.6,2.7,1.7,0.1,2.3,4.7,84.7
"Greene County, OH",0.276693,7.3,0.3,3.0,0.1,2.6,2.6,84.6
"Erie County, OH",0.276188,8.7,0.3,0.6,0.0,2.7,3.8,84.5
"Clark County, IN",0.275753,7.3,0.4,1.0,0.1,2.2,5.1,84.6
"Storey County, NV",0.275323,1.7,2.0,2.3,0.5,2.0,7.5,84.7
"Windham County, CT",0.275195,2.8,0.7,1.3,0.1,2.1,10.5,84.4
"Clinton County, IN",0.274929,0.6,0.4,0.3,0.0,0.8,14.5,83.9
"Rice County, MN",0.274471,3.8,0.7,2.1,0.1,1.6,7.7,84.7
"Cass County, MN",0.274425,0.3,11.9,0.4,0.0,2.2,1.6,84.3
"Jackson County, KS",0.27436,0.8,8.4,0.4,0.0,3.2,4.2,84.6
"Union County, PA",0.274271,8.0,0.5,1.3,0.1,1.3,5.7,84.6
"Benewah County, ID",0.274214,0.3,8.7,0.3,0.1,3.9,3.1,84.6
"Porter County, IN",0.274087,3.6,0.4,1.4,0.0,1.5,9.2,84.6
"Rensselaer County, NY",0.272796,7.2,0.3,2.3,0.0,2.3,4.3,84.8
"Vanderburgh County, IN",0.272611,9.3,0.3,1.3,0.1,2.4,2.4,84.7
"Surry County, NC",0.272606,4.1,0.5,0.7,0.1,1.1,9.9,84.6
"Alger County, MI",0.272016,6.7,4.0,0.5,0.0,3.0,1.3,84.9
"Dunn County, ND",0.271839,0.6,9.7,0.5,0.0,2.1,2.9,84.7
"Van Zandt County, TX",0.271318,3.0,1.0,0.4,0.1,1.6,10.0,84.7
"Rice County, KS",0.271228,1.7,1.1,0.4,0.1,2.3,11.0,84.6
"Alfalfa County, OK",0.271199,4.2,3.8,0.4,0.1,2.4,5.0,85.0
"Clark County, OH",0.271108,9.0,0.3,0.7,0.1,2.7,3.0,84.8
"Ottawa County, MI",0.270814,1.8,0.6,2.8,0.0,1.7,9.3,84.8
"Wasatch County, UT",0.270605,0.4,0.9,1.1,0.2,1.4,12.9,84.4
"Kittitas County, WA",0.27049,1.1,1.2,2.2,0.2,3.0,8.4,84.9
"Bartholomew County, IN",0.270124,2.3,0.5,5.0,0.1,1.5,6.4,85.0
"Buchanan County, MO",0.270005,5.9,0.6,1.1,0.3,2.2,5.8,85.0
"Greene County, VA",0.269911,6.8,0.4,1.6,0.0,2.2,4.7,85.0
"Sherman County, KS",0.269846,1.0,0.6,1.1,0.1,1.6,11.8,84.6
"Labette County, KS",0.269689,4.5,2.3,0.5,0.1,4.1,4.3,85.1
"Woods County, OK",0.269659,3.2,2.8,1.1,0.1,2.7,5.9,85.1
"Cache County, UT",0.269504,0.8,0.9,2.3,0.5,1.7,10.2,84.8
"Menominee County, WI",0.269335,0.8,84.5,0.4,0.0,2.0,5.2,11.6
"Charlotte County, FL",0.269019,6.1,0.3,1.3,0.1,1.5,6.6,85.0
"Cowlitz County, WA",0.268997,0.8,1.9,1.6,0.3,3.3,8.2,85.0
"Lewis County, WA",0.26891,0.8,1.8,1.0,0.2,3.1,9.4,84.9
"Hanover County, VA",0.268882,9.6,0.5,1.5,0.1,1.5,2.5,84.9
"Bourbon County, KY",0.268435,6.2,0.4,0.4,0.0,1.7,7.0,85.0
"Monroe County, IN",0.267708,3.5,0.3,6.0,0.1,2.3,3.2,85.2
"Phillips County, MT",0.267673,0.1,8.7,0.3,0.0,4.2,2.2,85.0
"Broome County, NY",0.267476,5.5,0.2,3.9,0.1,2.5,3.8,85.2
"DeKalb County, MO",0.267365,11.4,0.5,0.3,0.1,1.0,2.0,84.8
"Davie County, NC",0.267249,6.5,0.6,0.8,0.0,1.6,6.3,85.1
"Heard County, GA",0.267129,10.6,0.5,0.6,0.0,1.7,2.2,84.9
"Middlesex County, CT",0.267092,5.3,0.2,2.9,0.1,1.8,5.5,85.2
"Carroll County, TN",0.266898,10.7,0.5,0.3,0.0,1.7,2.3,84.9
"Davis County, UT",0.266785,1.4,0.7,2.0,0.7,2.4,8.8,85.1
"Cleveland County, AR",0.266254,11.9,0.4,0.2,0.0,1.0,1.9,84.8
"Lauderdale County, AL",0.266234,10.2,0.5,0.8,0.1,1.4,2.4,85.0
"Hamilton County, IN",0.266177,4.0,0.2,5.4,0.1,1.8,3.7,85.3
"Montgomery County, VA",0.266126,4.1,0.3,5.7,0.1,2.2,2.9,85.3
"Hampshire County, MA",0.26591,2.9,0.3,5.0,0.1,2.3,5.1,85.3
"Hancock County, MS",0.265681,8.1,0.6,1.1,0.1,2.0,3.6,85.2
"York County, PA",0.265591,6.3,0.3,1.4,0.1,1.9,6.3,85.2
"Oconee County, SC",0.26541,7.8,0.3,0.8,0.0,1.5,4.8,85.2
"Frederick County, VA",0.264651,4.6,0.5,1.4,0.1,1.9,7.1,85.3
"Ocean County, NJ",0.264588,3.5,0.3,1.9,0.0,1.3,8.8,85.2
"Berkeley County, WV",0.264588,7.4,0.3,1.1,0.0,2.6,3.9,85.3
"Pope County, AR",0.264304,3.2,1.0,1.1,0.1,2.1,8.0,85.3
"Lebanon County, PA",0.264284,3.1,0.3,1.3,0.0,1.4,10.9,85.0
"Lake County, MI",0.264193,9.2,0.9,0.2,0.0,2.7,2.5,85.2
"Oconee County, GA",0.264178,5.4,0.3,3.6,0.0,1.3,4.6,85.4
"Lincoln County, NC",0.263906,5.8,0.4,0.6,0.0,1.3,7.0,85.3
"Claiborne County, MS",0.263893,84.7,0.1,0.4,0.0,0.8,1.1,13.6
"Jackson County, MI",0.263773,8.3,0.4,0.8,0.0,2.5,3.2,85.3
"Roger Mills County, OK",0.263727,0.6,6.7,0.3,0.1,2.3,6.0,85.3
"Lincoln County, NV",0.263549,3.5,1.3,0.8,0.3,2.2,7.2,85.4
"Yadkin County, NC",0.263472,3.4,0.6,0.3,0.1,1.0,10.5,85.1
"Jasper County, MO",0.263403,2.3,1.7,1.1,0.5,2.9,7.4,85.4
"Reno County, KS",0.263159,3.3,0.8,0.5,0.1,2.2,8.7,85.3
"Pawnee County, KS",0.262534,4.9,0.8,0.4,0.1,2.2,7.2,85.4
"Madison County, VA",0.262304,9.5,0.3,0.6,0.0,2.4,2.1,85.3
"Cheyenne County, CO",0.262285,0.6,1.3,0.5,0.1,1.0,12.2,85.0
"Brule County, SD",0.262171,0.5,9.3,0.3,0.0,3.1,2.4,85.3
"Jefferson County, IA",0.261725,1.7,0.2,8.7,0.0,1.6,2.9,85.4
"La Salle County, TX",0.261648,1.0,0.8,0.2,0.0,0.6,84.8,13.8
"Fayette County, AL",0.261504,11.8,0.4,0.3,0.0,1.1,1.5,85.1
"Giles County, TN",0.261093,10.3,0.4,0.5,0.0,1.8,1.8,85.3
"Summit County, UT",0.260788,0.7,0.6,1.5,0.2,1.5,11.3,85.2
"Gloucester County, VA",0.260291,8.5,0.5,0.8,0.0,2.3,2.9,85.5
"Duchesne County, UT",0.260286,0.6,4.6,0.4,0.4,2.4,7.7,85.5
"Sandusky County, OH",0.260232,3.1,0.3,0.4,0.0,2.1,9.5,85.4
"Simpson County, KY",0.260188,9.8,0.3,0.9,0.0,1.9,2.1,85.4
"Whiteside County, IL",0.260087,1.6,0.4,0.5,0.0,1.6,11.6,85.2
"Washington County, UT",0.260024,0.8,1.7,0.8,0.9,1.9,9.9,85.4
"Bristol County, MA",0.26,4.4,0.6,2.1,0.1,1.9,6.7,85.6
"Fremont County, ID",0.259801,0.8,1.0,0.3,0.2,1.4,12.5,85.1
"Bannock County, ID",0.25951,0.8,3.5,1.4,0.3,2.2,7.6,85.6
"Bayfield County, WI",0.25931,0.6,10.2,0.3,0.0,2.7,1.4,85.4
"Chaffee County, CO",0.259286,1.7,1.5,0.7,0.1,1.5,10.3,85.4
"Lawrence County, IL",0.25927,10.0,0.3,0.3,0.0,1.0,3.6,85.4
KENTUCKY,0.258983,8.2,0.3,1.3,0.1,1.7,3.3,85.6
"Trousdale County, TN",0.258959,9.4,0.5,0.3,0.1,1.9,2.8,85.5
"Fall River County, SD",0.25854,1.2,7.0,0.6,0.1,2.9,3.3,85.7
"Tillamook County, OR",0.258441,0.5,1.5,1.0,0.2,2.4,9.8,85.5
"Major County, OK",0.257917,1.0,2.9,0.6,0.1,2.5,8.8,85.6
"Dixie County, FL",0.257861,8.9,0.4,0.4,0.0,1.5,3.5,85.6
"Bucks County, PA",0.257856,4.0,0.3,4.4,0.1,1.5,4.7,85.8
"Ramsey County, ND",0.257729,0.5,9.0,0.5,0.1,3.0,2.2,85.6
"Crawford County, AR",0.257511,1.5,2.5,1.6,0.1,2.7,6.7,85.8
"Ward County, ND",0.257119,3.6,2.4,1.2,0.2,2.6,4.8,85.9
"Valley County, MT",0.256978,0.4,9.6,0.6,0.1,2.4,2.1,85.6
"Ada County, ID",0.256622,1.3,0.8,2.6,0.2,2.6,7.5,85.8
"Grant County, IN",0.256443,7.2,0.4,0.8,0.0,2.3,4.0,85.8
"Williamson County, TN",0.256363,4.6,0.3,3.5,0.1,1.4,4.7,85.9
"Pettis County, MO",0.255723,3.3,0.7,0.7,0.2,1.9,8.1,85.8
"Prairie County, AR",0.255583,12.2,0.4,0.1,0.0,1.0,1.0,85.4
"Spokane County, WA",0.255336,1.9,1.7,2.3,0.4,3.7,5.0,86.0
"Erie County, PA",0.254506,7.5,0.3,1.3,0.0,2.1,3.7,85.9
"Lake County, OR",0.254379,0.5,2.3,1.0,0.1,3.4,7.7,85.9
"Dimmit County, TX",0.25437,1.7,0.8,0.6,0.0,0.7,85.4,12.6
"Wapello County, IA",0.253317,2.0,0.8,0.9,0.2,1.3,9.9,85.8
"Jefferson County, MS",0.253304,85.3,0.1,0.1,0.0,0.5,0.4,13.8
"Madison County, IN",0.253268,8.5,0.4,0.5,0.0,1.7,3.6,85.9
"Todd County, KY",0.253121,8.4,0.2,0.2,0.1,1.3,4.2,85.9
"Nevada County, CA",0.252753,0.5,1.2,1.4,0.1,3.0,9.0,85.9
"Cape May County, NJ",0.252559,5.0,0.4,1.0,0.1,1.8,7.0,86.0
"Luzerne County, PA",0.252392,4.6,0.4,1.2,0.1,1.5,8.5,85.9
"Clearwater County, MN",0.252221,0.4,9.3,0.4,0.0,3.1,1.6,85.9
"Lamar County, AL",0.252158,11.4,0.2,0.1,0.0,1.4,1.4,85.7
"Vigo County, IN",0.252152,7.1,0.4,1.9,0.0,2.2,2.5,86.1
"Sumner County, TN",0.251719,6.9,0.3,1.3,0.1,1.6,4.2,86.1
"Cascade County, MT",0.251685,1.6,4.6,0.9,0.1,3.6,3.9,86.2
"Warren County, IL",0.251369,2.2,0.5,1.5,0.1,1.4,9.0,86.0
"Woodford County, KY",0.251051,5.4,0.2,0.7,0.1,1.3,6.7,86.1
"Hood County, TX",0.250934,0.8,1.0,0.7,0.1,1.2,11.2,85.8
"Chester County, TN",0.250819,9.3,0.4,0.4,0.0,1.8,2.4,86.0
"Madison County, IL",0.250803,8.1,0.3,0.9,0.1,1.8,3.0,86.1
"Coos County, OR",0.25072,0.5,2.9,1.1,0.2,4.2,5.9,86.2
"Story County, IA",0.250718,2.7,0.2,6.5,0.0,1.6,3.2,86.2
"Sheboygan County, WI",0.250708,1.7,0.5,4.9,0.0,1.3,5.8,86.2
"Denali Borough, AK",0.250378,1.3,3.7,1.2,0.1,4.7,3.1,86.3
"Walworth County, WI",0.249824,1.2,0.5,1.0,0.1,1.2,10.9,85.9
"Salem city, VA",0.249792,7.5,0.3,2.0,0.0,1.7,2.9,86.2
"Marshall County, TN",0.24973,6.8,0.4,0.5,0.1,1.6,4.8,86.2
"Randolph County, IL",0.249495,10.0,0.2,0.4,0.1,1.0,2.8,86.0
"Beaver County, UT",0.248834,0.4,1.8,1.3,0.4,1.5,10.4,86.0
"Johnson County, MO",0.248716,4.7,0.6,1.9,0.3,2.7,3.8,86.4
"Pike County, GA",0.248532,10.7,0.3,0.4,0.0,1.5,1.3,86.0
"Howard County, IN",0.248465,7.2,0.4,1.0,0.0,2.5,2.9,86.3
"Walsh County, ND",0.24821,0.4,1.8,0.4,0.1,1.3,10.8,86.0
"Perry County, IL",0.24799,8.8,0.4,0.4,0.1,1.7,3.0,86.2
"Vilas County, WI",0.247636,0.3,11.1,0.3,0.0,1.3,1.6,86.0
"St. Clair County, AL",0.247528,9.3,0.4,0.8,0.1,1.3,2.3,86.2
"Isabella County, MI",0.247361,2.6,3.7,1.8,0.0,2.6,3.7,86.5
"Rains County, TX",0.247261,2.9,1.0,0.7,0.0,1.6,8.2,86.3
"Clark County, KS",0.24696,0.7,1.0,1.0,0.1,2.5,8.6,86.3
"Lewis County, ID",0.246793,0.4,6.5,0.5,0.2,2.9,4.0,86.4
"Cook County, MN",0.246577,0.7,8.7,0.6,0.0,2.6,1.8,86.3
"Carteret County, NC",0.245625,6.3,0.6,1.2,0.1,2.0,4.0,86.5
"Ellsworth County, KS",0.245588,5.0,0.7,0.7,0.0,1.5,5.8,86.5
"Cecil County, MD",0.245427,6.5,0.4,1.2,0.1,2.1,3.9,86.5
"Linn County, OR",0.24542,0.7,1.5,1.1,0.2,3.1,8.2,86.4
"Schoolcraft County, MI",0.245399,0.2,9.2,0.2,0.0,3.6,0.8,86.3
"Chase County, NE",0.245393,0.2,0.4,0.1,0.0,0.8,12.9,85.9
"Sanpete County, UT",0.245303,1.0,1.6,0.8,0.6,1.6,9.6,86.3
"Greene County, NY",0.244716,6.3,0.4,0.9,0.0,1.7,5.2,86.5
"Tolland County, CT",0.244665,3.5,0.2,3.9,0.1,1.8,4.8,86.6
"Skagway Municipality, AK",0.244653,0.3,4.6,0.7,0.3,3.8,4.2,86.6
"Dodge County, NE",0.244645,1.1,1.0,0.7,0.4,1.2,10.9,86.2
"Grand Forks County, ND",0.244252,3.0,2.7,2.2,0.1,2.4,3.7,86.7
"Clatsop County, OR",0.244208,0.8,1.3,1.4,0.3,2.7,8.0,86.5
"Throckmorton County, TX",0.24417,0.9,0.8,0.4,0.0,0.9,11.2,86.2
"Sierra County, CA",0.24407,0.4,1.9,0.4,0.1,2.4,9.2,86.4
"Pickens County, SC",0.243706,6.8,0.3,1.8,0.0,1.5,3.4,86.6
"Clarke County, IA",0.243451,0.8,0.6,0.6,0.0,1.2,11.5,86.2
"Warren County, TN",0.243245,3.5,0.4,0.6,0.1,1.4,8.4,86.5
"Shackelford County, TX",0.243114,1.3,0.7,0.3,0.1,1.5,10.8,86.3
"Boyle County, KY",0.242834,7.6,0.3,0.8,0.0,2.0,3.1,86.6
"Mathews County, VA",0.242813,9.0,0.2,0.4,0.1,2.1,2.0,86.5
"Hillsborough County, NH",0.242641,2.6,0.3,3.6,0.1,1.8,5.8,86.7
"Richland County, OH",0.242608,9.2,0.2,0.7,0.0,1.9,1.7,86.5
"Iron County, UT",0.242373,0.6,2.4,1.1,0.4,1.9,8.1,86.6
"Norton city, VA",0.242338,6.7,0.3,1.5,0.0,2.5,2.5,86.7
"Hamilton County, TX",0.242211,0.9,1.7,0.5,0.0,0.9,11.2,86.3
"Wilson County, TN",0.242084,6.7,0.4,1.3,0.1,1.6,3.6,86.7
"Niagara County, NY",0.242081,7.0,1.1,1.0,0.0,2.2,2.5,86.7
"Marion County, KY",0.241699,8.6,0.2,0.8,0.0,1.6,2.5,86.6
"Pitkin County, CO",0.241631,0.8,0.5,1.5,0.1,1.5,9.8,86.5
"Jefferson County, IL",0.241409,8.8,0.3,0.8,0.0,1.7,2.3,86.6
"Baca County, CO",0.241141,1.0,1.8,0.3,0.0,2.0,9.9,86.5
"Sabine County, TX",0.240993,7.5,0.8,0.4,0.0,1.3,3.8,86.7
"Goshen County, WY",0.240787,1.1,1.0,0.6,0.1,1.1,10.3,86.5
"Dawes County, NE",0.240703,1.6,3.9,1.5,0.6,2.7,3.7,86.9
"Jackson County, WI",0.240277,2.1,6.8,0.4,0.1,1.6,3.1,86.8
"Chemung County, NY",0.240206,6.8,0.3,1.3,0.0,2.8,2.8,86.8
"Jackson County, CO",0.239856,0.1,1.9,0.1,0.0,1.7,11.4,86.4
"Hendricks County, IN",0.239477,5.8,0.3,2.4,0.1,1.6,3.4,86.9
"Todd County, SD",0.239373,0.2,86.5,0.3,0.0,2.2,3.3,10.4
"Becker County, MN",0.239118,0.6,7.8,0.5,0.0,3.2,1.7,86.8
"Natrona County, WY",0.239113,1.9,1.4,0.8,0.1,2.1,8.0,86.8
"Hunterdon County, NJ",0.239112,2.7,0.2,3.7,0.0,1.2,5.9,86.9
"Montague County, TX",0.238791,0.6,1.3,0.6,0.0,1.4,10.4,86.6
"Newton County, MO",0.238768,1.0,2.5,1.5,0.9,3.0,4.9,87.0
"Queen Anne's County, MD",0.238473,6.9,0.4,1.2,0.0,1.7,3.4,86.9
"Orleans County, NY",0.238283,6.4,0.7,0.5,0.0,1.9,4.5,86.9
"Gratiot County, MI",0.238268,5.8,0.6,0.5,0.0,1.1,5.5,86.9
"Cass County, MI",0.238134,5.4,1.1,0.8,0.0,2.9,3.2,87.0
"Newport County, RI",0.237899,3.9,0.5,1.8,0.1,2.7,5.1,87.0
"Logan County, IL",0.237089,8.0,0.4,0.7,0.0,1.4,3.3,86.9
MONTANA,0.23706,0.6,6.5,0.8,0.1,2.5,3.3,87.0
"Graves County, KY",0.236716,4.7,0.4,0.5,0.1,1.7,6.2,87.0
"Knox County, NE",0.236698,0.2,9.5,0.4,0.1,1.6,2.4,86.8
"Dixon County, NE",0.236175,0.6,0.6,0.2,0.2,1.0,11.7,86.6
"Lyon County, MN",0.235881,2.4,0.7,2.8,0.0,1.5,6.2,87.1
"Saline County, AR",0.235541,6.1,0.6,1.0,0.1,1.4,4.2,87.1
"Hardin County, TX",0.235096,5.8,0.5,0.7,0.0,1.1,5.2,87.1
"Defiance County, OH",0.234954,2.1,0.4,0.4,0.0,1.4,9.6,86.9
"Franklin County, IA",0.234877,0.8,0.4,0.5,0.2,1.0,11.5,86.7
"Cape Girardeau County, MO",0.234437,7.7,0.4,1.3,0.0,1.8,2.2,87.1
"Stevens County, WA",0.234176,0.5,5.7,0.7,0.2,3.2,3.3,87.2
"Chautauqua County, KS",0.234079,0.9,4.9,0.2,0.1,4.7,2.9,87.2
"Holmes County, FL",0.234,6.6,0.9,0.7,0.1,2.0,2.7,87.2
"Lonoke County, AR",0.233967,6.1,0.6,0.9,0.1,1.7,3.9,87.2
"Carson County, TX",0.233621,0.8,1.3,0.5,0.0,1.4,9.5,87.0
"Nassau County, FL",0.233596,6.5,0.5,1.0,0.1,1.5,3.8,87.2
"Stanley County, SD",0.233463,0.8,8.4,0.2,0.0,2.4,1.4,87.1
"Lee County, IL",0.233404,5.2,0.3,0.9,0.0,1.3,5.7,87.2
NORTH DAKOTA,0.233284,1.8,5.4,1.2,0.1,1.9,2.9,87.3
"Centre County, PA",0.232919,3.4,0.1,5.3,0.1,1.6,2.7,87.3
"Roanoke County, VA",0.232838,5.6,0.2,3.1,0.0,1.6,2.6,87.3
"Day County, SD",0.23268,0.5,8.9,0.3,0.0,1.8,2.0,87.1
"Weakley County, TN",0.232338,8.0,0.3,1.2,0.0,1.4,2.3,87.2
"Dallas County, IA",0.232271,1.7,0.4,3.4,0.1,1.3,6.3,87.3
"Gilchrist County, FL",0.231825,5.6,0.6,0.5,0.1,1.2,5.2,87.3
"Armstrong County, TX",0.231825,1.4,1.3,0.0,0.0,1.2,9.5,87.1
"Delaware County, OH",0.231542,3.5,0.2,5.0,0.0,1.8,2.3,87.4
"LaSalle County, IL",0.231321,2.2,0.3,0.8,0.0,1.3,8.7,87.2
"Alleghany County, NC",0.231248,1.7,0.5,0.7,0.0,1.2,9.8,87.1
"Columbia County, NY",0.231089,5.0,0.3,1.9,0.1,2.0,4.2,87.4
"Stark County, OH",0.230844,7.8,0.3,0.9,0.0,2.3,1.8,87.3
"Yellowstone County, MT",0.230831,0.8,4.3,0.7,0.1,2.7,5.1,87.4
"Lenawee County, MI",0.230725,2.8,0.6,0.6,0.0,1.9,7.7,87.3
"Bradley County, TN",0.230552,4.7,0.6,1.1,0.1,1.7,5.4,87.4
"Shawano County, WI",0.230244,0.4,8.1,0.5,0.0,2.0,2.5,87.3
"Franklin County, VA",0.230233,8.2,0.4,0.5,0.0,1.2,2.7,87.3
"Williams County, ND",0.229977,1.3,3.8,0.8,0.1,2.8,4.4,87.5
"Gilmer County, GA",0.229831,0.9,0.7,0.4,0.5,1.1,10.6,87.1
"Clarke County, VA",0.229436,5.2,0.4,1.1,0.1,2.4,3.9,87.5
"Scott County, KY",0.229025,5.7,0.3,1.1,0.1,1.7,4.1,87.5
"Curry County, OR",0.228668,0.4,2.2,0.9,0.1,3.4,6.3,87.5
"Glascock County, GA",0.228616,9.4,0.4,0.3,0.0,1.3,1.5,87.3
"Jefferson County, ID",0.22833,0.4,1.3,0.5,0.2,1.6,10.4,87.2
"St. Joseph County, MI",0.228261,2.7,0.6,0.7,0.0,2.0,7.0,87.5
"Lincoln County, TN",0.228144,7.0,0.8,0.4,0.1,1.7,3.1,87.5
"Redwood County, MN",0.228122,0.7,5.0,3.0,0.0,1.8,2.7,87.6
"Johnson County, IL",0.227945,8.4,0.3,0.3,0.0,0.9,3.2,87.4
IOWA,0.227828,3.3,0.5,2.0,0.1,1.6,5.5,87.6
"Callahan County, TX",0.227798,1.5,0.8,0.6,0.1,1.6,8.8,87.4
"Alexander County, NC",0.227105,5.8,0.4,1.1,0.0,1.3,4.3,87.6
"Freeborn County, MN",0.227049,1.1,0.4,1.2,0.1,1.2,9.3,87.4
"Henry County, TN",0.226886,8.2,0.3,0.4,0.0,1.6,2.2,87.5
"San Miguel County, CO",0.22677,0.6,1.2,0.9,0.1,1.6,9.4,87.4
"Barry County, MO",0.226629,0.5,1.2,1.4,0.1,1.8,8.4,87.5
"Willacy County, TX",0.226106,2.6,0.6,0.8,0.1,0.5,87.4,9.6
"Big Horn County, WY",0.226043,1.5,1.3,0.5,0.0,1.3,8.8,87.5
"Box Elder County, UT",0.225697,0.5,1.2,0.9,0.2,1.8,9.0,87.5
"Uinta County, WY",0.225552,0.8,1.3,0.4,0.2,1.7,9.1,87.5
"Henderson County, KY",0.225372,8.0,0.3,0.5,0.0,1.7,2.3,87.6
"Hyde County, SD",0.224907,0.4,9.5,0.4,0.1,1.7,1.1,87.5
"Delaware County, IN",0.224858,7.1,0.3,1.1,0.1,2.1,2.0,87.7
"Warren County, VA",0.224328,5.1,0.5,1.1,0.0,2.1,4.0,87.8
"Raleigh County, WV",0.223572,8.2,0.3,0.9,0.0,1.7,1.4,87.7
"Allegany County, MD",0.223516,8.2,0.2,0.9,0.1,1.7,1.6,87.7
"Campbell County, WY",0.223414,1.1,1.5,0.5,0.1,1.9,8.2,87.7
"Pike County, AR",0.223297,3.3,1.0,0.7,0.0,1.5,6.6,87.8
"Trumbull County, OH",0.223037,8.5,0.2,0.5,0.0,1.8,1.6,87.7
"Henderson County, TN",0.222199,7.8,0.3,0.4,0.0,1.8,2.2,87.8
"Poinsett County, AR",0.222089,7.8,0.3,0.3,0.0,1.4,2.7,87.8
"Nez Perce County, ID",0.222089,0.5,5.9,0.7,0.1,2.5,3.3,87.9
"Hickman County, KY",0.222017,9.2,0.2,0.3,0.0,1.6,1.1,87.7
"Currituck County, NC",0.221923,6.2,0.5,0.7,0.1,1.9,3.4,87.9
"Meade County, SD",0.221893,2.0,2.9,0.9,0.1,2.8,4.0,88.0
"Llano County, TX",0.221817,1.2,0.9,0.6,0.0,1.2,9.3,87.7
"Crawford County, KS",0.221636,2.2,1.1,1.5,0.3,2.5,5.0,88.0
"Cumberland County, PA",0.221518,3.7,0.2,3.6,0.0,1.8,3.3,88.0
"Audrain County, MO",0.221504,6.9,0.4,0.5,0.0,1.8,2.7,87.9
"Sussex County, NJ",0.221418,2.1,0.2,2.0,0.0,1.4,7.0,87.9
"Josephine County, OR",0.221376,0.5,1.5,0.9,0.2,3.2,6.8,87.9
"Steele County, MN",0.221187,2.7,0.3,0.9,0.0,1.3,7.2,87.9
"Blount County, AL",0.221056,1.8,0.6,0.3,0.1,1.1,8.7,87.8
"Ellis County, OK",0.220857,0.6,2.4,0.3,0.0,1.6,7.5,87.9
"Camas County, ID",0.220816,0.5,1.3,0.3,0.0,3.4,7.2,87.9
"Emmet County, IA",0.220799,0.9,1.4,0.7,0.1,2.3,9.6,87.7
"Warren County, OH",0.219735,3.5,0.2,4.5,0.0,1.5,2.5,88.1
"Dare County, NC",0.219624,2.9,0.7,0.6,0.0,1.7,6.9,88.0
"Adams County, NE",0.219552,1.0,0.9,1.6,0.1,1.2,8.5,87.9
"George County, MS",0.219504,8.5,0.4,0.2,0.0,0.9,2.3,87.9
"Cottonwood County, MN",0.219474,0.9,0.4,3.0,0.2,1.5,7.0,88.0
"Bon Homme County, SD",0.219285,1.1,7.4,0.3,0.0,1.5,2.2,88.0
"Grundy County, IL",0.218989,1.5,0.4,0.8,0.0,1.2,8.9,87.9
"Sublette County, WY",0.218882,1.4,1.1,1.1,0.0,1.4,7.8,88.0
"Rabun County, GA",0.218352,1.6,0.5,0.9,0.1,1.8,8.1,88.0
"Fairfield County, OH",0.21832,6.8,0.2,1.3,0.0,1.9,1.9,88.1
"Bond County, IL",0.218284,6.5,0.6,0.6,0.0,1.3,3.3,88.1
"Gem County, ID",0.21814,0.2,0.9,1.1,0.1,2.3,8.2,88.0
"Gunnison County, CO",0.21809,0.5,2.5,0.7,0.0,1.7,9.1,87.9
"McDonough County, IL",0.217601,5.5,0.3,2.1,0.0,1.8,2.6,88.2
"Harney County, OR",0.21758,0.5,3.7,0.5,0.0,3.1,4.6,88.2
"Kanawha County, WV",0.217397,7.6,0.2,1.1,0.0,2.1,1.0,88.1
"Noble County, IN",0.217368,0.7,0.4,0.5,0.0,1.0,9.9,87.9
"Deschutes County, OR",0.217084,0.5,1.1,1.0,0.2,2.4,7.7,88.1
"Lackawanna County, PA",0.216958,3.1,0.3,2.1,0.1,1.5,5.9,88.2
"Caldwell County, NC",0.216792,5.1,0.6,0.7,0.1,1.4,4.9,88.2
"Polk County, NC",0.216658,4.5,0.6,0.5,0.0,1.4,5.6,88.2
"St. Charles County, MO",0.216385,4.6,0.3,2.4,0.1,1.8,3.0,88.3
"Washington County, CO",0.216145,0.7,0.2,0.4,0.1,1.3,9.6,88.0
"Trigg County, KY",0.215354,7.8,0.3,0.4,0.0,1.8,1.7,88.2
"Ogle County, IL",0.215075,1.1,0.3,0.5,0.1,1.2,9.2,88.1
"Washington County, KY",0.214784,6.3,0.2,0.4,0.0,1.3,3.7,88.3
"Buffalo County, NE",0.214721,1.0,0.5,1.4,0.1,1.2,8.3,88.2
"Kimball County, NE",0.214581,0.2,1.8,0.9,0.1,1.9,8.2,88.2
"Graham County, NC",0.214288,0.4,7.0,0.4,0.1,1.9,2.7,88.3
"Ionia County, MI",0.213677,4.9,0.6,0.5,0.0,1.4,4.7,88.4
"McDowell County, NC",0.213538,4.1,0.7,0.9,0.1,1.3,5.5,88.4
"Linn County, IA",0.213146,4.3,0.3,2.0,0.1,2.3,2.9,88.5
"Chautauqua County, NY",0.212758,2.7,0.6,0.6,0.0,1.9,6.8,88.4
"Toole County, MT",0.212449,0.7,5.4,0.6,0.0,2.2,2.9,88.5
"Carlton County, MN",0.21217,1.6,5.9,0.6,0.0,2.4,1.6,88.5
"Wright County, IA",0.212086,0.7,0.3,0.3,0.1,1.1,9.9,88.2
"Des Moines County, IA",0.212082,5.7,0.3,0.8,0.1,2.3,2.9,88.5
"Livingston County, IL",0.211734,5.4,0.3,0.6,0.0,1.2,4.4,88.5
